Airline,Source,Dest,Route Map,Stops,Info,Price,Day,Month,Distance(km),Dep_Hr,Dep_Min,Duration_Hr,Duration_Min
Air India,BLR,DEL,BLR → HYD → DEL,1,0,5626,09,3,1722.67,06,50,26,0
IndiGo,BLR,DEL,BLR → DEL,0,0,6860,21,3,1709.71,16,55,2,50
IndiGo,DEL,COK,DEL → BOM → COK,1,0,6628,1,6,2201.6,18,35,6,55
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,11627,6,6,2201.6,13,00,23,35
SpiceJet,CCU,BLR,CCU → BLR,0,0,4174,9,6,1547.27,17,10,2,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,14714,1,6,2201.6,18,15,10,10
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,14151,12,5,3022.67,09,35,11,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12898,27,5,2201.6,16,00,27,0
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12373,18,5,2201.6,21,50,6,35
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,18,6,1709.71,10,10,2,50
Air Asia,CCU,BLR,CCU → IXR → DEL → BLR,2,0,7870,9,6,3045.77,15,10,8,20
Jet Airways,BLR,DEL,BLR → DEL,0,0,8016,18,6,1709.71,18,55,3,5
Air India,DEL,COK,DEL → HYD → MAA → COK,2,0,10975,15,5,2292.07,13,05,20,20
IndiGo,MAA,CCU,MAA → CCU,0,0,3850,27,5,1387.26,07,55,2,20
IndiGo,CCU,BLR,CCU → BLR,0,0,4804,18,6,1547.27,20,25,2,45
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,15554,9,3,2201.6,20,50,7,35
SpiceJet,CCU,BLR,CCU → BLR,0,0,4465,18,3,1547.27,06,55,2,40
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,11841,9,6,2500.36,21,10,12,55
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,19332,9,3,2201.6,08,00,11,15
SpiceJet,CCU,BLR,CCU → BLR,0,2,3841,21,6,1547.27,17,10,2,30
IndiGo,BLR,DEL,BLR → DEL,0,0,4591,12,4,1709.71,10,10,2,50
IndiGo,CCU,BLR,CCU → HYD → BLR,1,0,5192,24,5,1662.88,15,15,4,50
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10577,9,6,2201.6,18,15,18,20
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,0,15129,18,5,2206.24,19,30,8,55
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,11789,6,6,2201.6,06,00,13,0
Air India,DEL,COK,DEL → BOM → COK,1,0,8372,15,6,2201.6,21,00,10,40
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,8266,9,5,2201.6,06,00,13,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14781,6,5,2500.36,06,30,13,20
Vistara,BLR,DEL,BLR → DEL,0,0,5613,21,4,1709.71,17,00,2,35
Jet Airways,BLR,DEL,BLR → DEL,0,0,7229,24,4,1709.71,15,15,2,55
IndiGo,DEL,COK,DEL → BOM → COK,1,0,6093,24,6,2201.6,08,30,12,30
Jet Airways,DEL,COK,DEL → BHO → BOM → COK,2,1,15544,21,5,2308.95,05,30,7,5
GoAir,DEL,COK,DEL → AMD → COK,1,0,6296,18,5,2247.89,07,25,6,10
IndiGo,CCU,BLR,CCU → BLR,0,0,4804,27,4,1547.27,09,35,2,45
Air Asia,BLR,DEL,BLR → DEL,0,0,4284,18,3,1709.71,05,50,2,50
IndiGo,DEL,COK,DEL → HYD → COK,1,0,6558,21,3,2084.71,07,35,14,45
IndiGo,DEL,COK,DEL → LKO → COK,1,0,5775,24,6,2329.93,21,50,5,45
SpiceJet,MAA,CCU,MAA → CCU,0,2,3543,21,6,1387.26,08,20,2,15
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,17024,6,3,2201.6,09,55,8,55
Jet Airways,BOM,HYD,BOM → HYD,0,1,4050,9,6,623.54,07,05,1,25
Air India,BOM,HYD,BOM → BHO → DEL → HYD,2,0,14219,6,3,2512.12,06,00,33,15
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,26890,01,3,1971.87,11,40,6,45
Air India,DEL,COK,DEL → AMD → BOM → COK,2,0,9653,15,6,2263.95,19,45,23,30
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,21,6,1709.71,06,05,2,45
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,18,5,2500.36,14,05,26,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,8849,1,4,2500.36,21,10,7,30
IndiGo,BOM,HYD,BOM → HYD,0,0,2754,12,6,623.54,01,40,1,30
Air India,DEL,COK,DEL → CCU → BOM → COK,2,0,10756,21,3,4043.05,06,50,36,25
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,14151,21,5,3022.67,17,00,28,5
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,9899,12,6,2500.36,08,25,12,20
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,12242,21,3,2201.6,22,00,6,25
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,1,10368,9,6,2206.24,19,30,17,5
IndiGo,BOM,HYD,BOM → HYD,0,0,5755,24,5,623.54,09,10,1,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,15,6,2201.6,18,15,10,10
SpiceJet,CCU,BLR,CCU → PNQ → BLR,1,0,6643,6,6,2300.57,08,35,8,40
Multiple carriers Premium economy,DEL,COK,DEL → BOM → COK,1,0,9845,21,3,2201.6,07,30,13,30
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,11134,24,3,2500.36,18,55,17,5
SpiceJet,DEL,COK,DEL → MAA → COK,1,0,5583,1,6,2278.33,06,05,5,15
IndiGo,DEL,COK,DEL → BOM → COK,1,0,6069,15,5,2201.6,16,00,5,0
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,13817,12,3,1971.87,05,45,14,35
Air India,DEL,COK,DEL → AMD → BOM → COK,2,0,10283,6,3,2263.95,05,00,38,15
Air India,CCU,BLR,CCU → GAU → BLR,1,0,7795,24,3,2538.47,09,50,11,15
Multiple carriers,DEL,COK,DEL → BOM → COK,1,1,13977,9,3,2201.6,00,20,7,20
Jet Airways,DEL,COK,DEL → NAG → BOM → COK,2,1,10919,1,6,2600.67,06,45,21,40
IndiGo,CCU,BLR,CCU → BLR,0,0,6038,3,3,1547.27,20,25,2,40
IndiGo,DEL,COK,DEL → COK,0,0,5601,21,5,2048.6,05,35,3,15
IndiGo,DEL,COK,DEL → BOM → COK,1,0,12351,9,3,2201.6,07,30,13,30
Air India,DEL,COK,DEL → COK,0,0,6094,15,4,2048.6,05,10,2,50
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,7575,15,5,2201.6,10,35,8,40
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,16079,27,5,2201.6,21,50,6,35
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,15,6,2201.6,19,15,23,45
Air Asia,DEL,COK,DEL → BLR → COK,1,0,13470,9,6,2077.09,16,45,5,40
Jet Airways,BLR,DEL,BLR → DEL,0,0,8016,27,6,1709.71,11,10,2,55
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,16289,9,3,2201.6,18,15,24,35
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,6,6,2201.6,19,45,8,40
IndiGo,BLR,DEL,BLR → DEL,0,0,4823,27,6,1709.71,18,25,2,55
Vistara,BLR,DEL,BLR → DEL,0,0,5403,9,4,1709.71,09,45,2,50
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12373,18,5,2201.6,17,30,25,30
SpiceJet,BOM,HYD,BOM → JLR → HYD,1,0,13552,6,3,1555.73,14,10,8,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,9,5,2500.36,08,25,12,20
Air India,BOM,HYD,BOM → JDH → DEL → HYD,2,0,22619,6,3,2539.04,09,40,14,5
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,8625,27,5,2201.6,10,35,8,40
IndiGo,BLR,DEL,BLR → DEL,0,0,4777,24,3,1709.71,06,00,2,45
IndiGo,DEL,COK,DEL → COK,0,0,5000,21,6,2048.6,05,35,3,15
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,0,21954,6,3,2263.95,19,10,24,35
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,11627,3,6,2201.6,11,30,16,55
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13731,24,5,2500.36,14,05,14,35
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,3,4,1709.71,22,10,2,50
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,6992,21,3,1971.87,08,55,14,5
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13941,6,5,2500.36,18,55,9,45
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,14924,12,6,2201.6,08,00,11,0
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,18371,27,6,2201.6,02,15,10,20
IndiGo,MAA,CCU,MAA → CCU,0,0,7295,3,3,1387.26,19,35,2,20
Air India,BLR,DEL,BLR → GOI → DEL,1,0,9292,09,3,1986.53,17,00,23,40
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13941,1,5,2500.36,20,00,12,15
IndiGo,CCU,BLR,CCU → HYD → BLR,1,0,4150,24,3,1662.88,04,15,5,35
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,12681,1,4,2500.36,20,00,27,35
IndiGo,DEL,COK,DEL → COK,0,0,5601,3,6,2048.6,05,35,3,15
Air India,CCU,BLR,CCU → GAU → DEL → BLR,2,0,14960,21,5,3664.88,09,50,23,5
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13377,6,6,2201.6,16,00,9,30
IndiGo,BOM,HYD,BOM → HYD,0,0,3342,21,3,623.54,12,00,1,25
Jet Airways,BLR,DEL,BLR → DEL,0,0,8016,6,6,1709.71,11,10,2,55
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,16736,06,3,1971.87,05,45,17,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10031,24,3,2500.36,21,10,22,30
Air India,DEL,COK,DEL → BLR → COK,1,0,7258,21,4,2077.09,20,30,11,45
Jet Airways,BLR,DEL,BLR → DEL,0,1,4030,15,5,1709.71,06,00,2,45
Air India,DEL,COK,DEL → CCU → BOM → COK,2,0,13381,24,6,4043.05,14,25,28,50
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,0,16704,24,5,2263.95,23,05,29,20
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13587,24,6,2201.6,09,00,12,0
Jet Airways,BOM,HYD,BOM → HYD,0,0,5678,24,5,623.54,02,55,1,25
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,7064,1,4,2500.36,06,30,26,50
IndiGo,BOM,HYD,BOM → HYD,0,0,2754,3,6,623.54,01,40,1,30
Vistara,BLR,DEL,BLR → DEL,0,0,4668,1,5,1709.71,09,45,2,50
Air Asia,CCU,BLR,CCU → BLR,0,0,4107,21,6,1547.27,19,55,2,30
IndiGo,DEL,COK,DEL → BOM → COK,1,0,5894,12,6,2201.6,04,55,16,5
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,6,6,2201.6,17,30,10,55
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13941,9,5,2500.36,16,30,15,45
Air Asia,DEL,COK,DEL → BLR → COK,1,0,6451,27,4,2077.09,16,45,14,25
Air India,DEL,COK,DEL → HYD → MAA → COK,2,0,10975,27,6,2292.07,09,45,23,40
Air India,DEL,COK,DEL → JAI → BOM → COK,2,0,14746,6,3,2206.24,12,00,19,40
Air Asia,DEL,COK,DEL → BLR → COK,1,0,11410,6,6,2077.09,20,45,10,25
SpiceJet,CCU,BLR,CCU → BLR,0,2,3841,1,5,1547.27,06,55,2,35
Air India,DEL,COK,DEL → CCU → BOM → COK,2,0,13381,3,6,4043.05,06,50,24,50
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,15078,9,5,2201.6,11,30,14,0
Air India,CCU,BLR,CCU → BOM → BLR,1,0,8891,9,5,2500.36,09,25,9,5
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,7757,9,5,2500.36,14,05,20,0
Air India,BLR,DEL,BLR → DEL,0,0,4441,9,4,1709.71,05,45,3,0
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10031,24,3,2500.36,19,45,22,25
IndiGo,BLR,DEL,BLR → DEL,0,0,4823,12,4,1709.71,13,00,2,50
Air India,CCU,BLR,CCU → BOM → BLR,1,0,8576,24,5,2500.36,09,25,9,5
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,11087,12,3,1971.87,20,35,19,35
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12373,18,5,2201.6,10,00,26,35
Air India,CCU,BLR,CCU → BOM → GOI → BLR,2,0,11432,21,5,2573.87,09,25,20,10
IndiGo,BOM,HYD,BOM → HYD,0,0,3175,15,6,623.54,16,55,1,30
IndiGo,CCU,BLR,CCU → BLR,0,0,4804,12,5,1547.27,09,35,2,45
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,0,13014,27,6,2206.24,09,40,26,55
Multiple carriers,DEL,COK,DEL → HYD → COK,1,1,7563,6,3,2084.71,07,10,15,10
SpiceJet,CCU,BLR,CCU → BLR,0,0,3873,27,6,1547.27,09,00,2,25
IndiGo,DEL,COK,DEL → HYD → COK,1,0,6282,21,5,2084.71,11,55,13,0
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,11200,1,6,2201.6,08,30,10,30
Vistara,BLR,DEL,BLR → DEL,0,0,5613,24,4,1709.71,19,30,2,45
IndiGo,DEL,COK,DEL → COK,0,0,5601,9,6,2048.6,14,20,3,15
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,15,6,2201.6,14,00,22,35
IndiGo,BLR,DEL,BLR → DEL,0,0,14306,01,3,1709.71,20,00,2,55
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,7064,1,4,2500.36,20,00,24,45
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,18371,27,6,2201.6,07,05,11,55
Air India,DEL,COK,DEL → CCU → BOM → COK,2,0,13591,18,5,4043.05,20,15,23,0
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,1,10368,1,6,2206.24,09,40,26,55
Multiple carriers,DEL,COK,DEL → IXU → BOM → COK,2,0,18275,12,6,2325.49,17,50,7,40
IndiGo,BLR,DEL,BLR → DEL,0,0,3749,27,5,1709.71,22,10,2,50
Air Asia,CCU,BLR,CCU → IXR → DEL → BLR,2,0,6810,6,6,3045.77,15,10,8,20
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,7485,21,5,2201.6,11,40,9,20
Air India,CCU,BLR,CCU → BLR,0,0,5510,27,5,1547.27,14,15,2,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,3,6,2201.6,18,15,10,10
Multiple carriers,DEL,COK,DEL → HYD → COK,1,0,6723,24,6,2084.71,07,10,9,0
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,8307,21,3,2201.6,08,00,7,30
GoAir,DEL,COK,DEL → HYD → COK,1,0,6146,21,4,2084.71,05,55,7,40
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,0,15129,27,5,2263.95,13,25,23,10
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14388,1,5,2500.36,06,30,5,30
Jet Airways,BLR,DEL,BLR → DEL,0,1,4544,6,4,1709.71,06,00,2,45
Jet Airways,BLR,DEL,BLR → DEL,0,1,5198,12,4,1709.71,11,10,2,55
IndiGo,DEL,COK,DEL → BOM → COK,1,0,7503,18,5,2201.6,09,15,16,15
GoAir,BLR,DEL,BLR → GOI → DEL,1,0,12314,01,3,1986.53,15,45,4,30
Air India,DEL,COK,DEL → BOM → COK,1,0,8372,15,5,2201.6,13,00,6,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14781,21,5,2500.36,16,30,7,5
Jet Airways,BLR,DEL,BLR → DEL,0,0,8016,24,6,1709.71,19,50,3,0
IndiGo,MAA,CCU,MAA → CCU,0,0,6297,12,3,1387.26,07,55,2,20
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14388,1,5,2500.36,08,25,24,55
GoAir,DEL,COK,DEL → AMD → COK,1,0,6393,1,6,2247.89,07,25,6,10
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14939,9,6,2500.36,21,10,12,55
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14781,21,5,2500.36,08,25,11,25
IndiGo,DEL,COK,DEL → BOM → COK,1,0,14871,6,3,2201.6,07,30,13,30
SpiceJet,BLR,DEL,BLR → DEL,0,2,4319,6,4,1709.71,09,30,2,50
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,13067,15,5,3022.67,17,00,16,45
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,26890,01,3,1971.87,16,55,15,20
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,9134,15,3,1971.87,07,00,6,15
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,3,4,1709.71,21,15,3,0
Air India,DEL,COK,DEL → BOM → COK,1,0,8879,24,6,2201.6,07,00,12,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14571,24,5,2500.36,18,55,17,5
IndiGo,CCU,BLR,CCU → BLR,0,0,5644,15,6,1547.27,09,35,2,35
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,9663,9,6,2500.36,06,30,22,10
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14571,9,6,2500.36,14,05,9,30
SpiceJet,BLR,DEL,BLR → DEL,0,0,3971,9,6,1709.71,21,10,2,55
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,17024,6,3,2201.6,09,00,9,50
SpiceJet,CCU,BLR,CCU → BLR,0,2,3841,15,5,1547.27,17,10,2,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12898,27,5,2201.6,19,45,23,15
Jet Airways,DEL,COK,DEL → NAG → BOM → COK,2,0,13376,6,6,2600.67,14,35,13,50
Jet Airways,DEL,COK,DEL → IDR → BOM → COK,2,1,9905,15,6,2232.34,21,25,15,10
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13587,15,6,2201.6,08,00,13,0
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,7740,24,6,2201.6,06,00,15,0
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,9794,21,5,2201.6,06,00,6,35
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,17471,06,3,1971.87,22,50,22,30
Jet Airways,DEL,COK,DEL → IXC → BOM → COK,2,1,15129,9,3,2648.88,13,45,14,40
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,11467,1,5,3022.67,09,35,28,50
Air India,CCU,BLR,CCU → MAA → BLR,1,0,6528,12,6,1654.62,14,35,24,0
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,8266,27,6,2201.6,07,30,11,45
IndiGo,DEL,COK,DEL → HYD → COK,1,0,6442,6,3,2084.71,06,40,15,40
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,12,6,2201.6,22,50,13,45
Jet Airways,BOM,HYD,BOM → HYD,0,0,17501,1,3,623.54,07,10,1,25
Air India,BLR,DEL,BLR → DEL,0,0,8273,24,5,1709.71,06,10,2,45
Air India,DEL,COK,DEL → LKO → BOM → COK,2,0,10703,21,3,2671.33,18,30,24,45
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,8510,15,6,2201.6,10,00,15,30
IndiGo,BOM,HYD,BOM → HYD,0,0,2754,15,3,623.54,20,05,1,30
IndiGo,BOM,HYD,BOM → HYD,0,0,2227,18,5,623.54,21,20,1,30
Multiple carriers,DEL,COK,DEL → IXU → BOM → COK,2,0,18275,27,6,2325.49,17,50,7,40
SpiceJet,DEL,COK,DEL → PNQ → COK,1,2,6356,21,4,2130.78,08,45,4,30
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14781,15,5,2500.36,14,05,6,40
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,1,13029,27,5,2206.24,09,40,26,55
GoAir,BLR,DEL,BLR → DEL,0,0,4340,1,5,1709.71,11,40,2,50
Air India,CCU,BLR,CCU → DEL → COK → BLR,2,0,12224,12,6,3728.94,17,30,20,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,24,5,2500.36,16,30,25,45
IndiGo,CCU,BLR,CCU → BLR,0,0,4174,15,4,1547.27,09,35,2,45
Air India,BLR,DEL,BLR → HYD → VGA → DEL,2,0,14887,01,3,2109.51,17,00,29,55
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,12853,9,4,2201.6,09,00,10,15
Air Asia,BLR,DEL,BLR → DEL,0,0,3383,15,5,1709.71,11,10,2,45
GoAir,BLR,DEL,BLR → DEL,0,0,11111,01,3,1709.71,11,40,2,55
Jet Airways,BLR,DEL,BLR → DEL,0,0,7229,1,4,1709.71,17,45,3,0
Jet Airways,BLR,DEL,BLR → DEL,0,1,4030,6,5,1709.71,17,45,3,0
IndiGo,DEL,COK,DEL → BOM → COK,1,0,14871,3,3,2201.6,15,00,10,35
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12898,27,5,2201.6,19,45,8,40
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,14533,18,5,2201.6,11,30,7,45
Air India,DEL,COK,DEL → BLR → COK,1,0,7258,6,6,2077.09,17,40,14,35
SpiceJet,DEL,COK,DEL → PNQ → COK,1,0,4812,1,4,2130.78,08,45,4,30
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,1,12384,9,5,3022.67,09,35,11,30
Air India,DEL,COK,DEL → JAI → BOM → COK,2,0,8603,6,6,2206.24,12,00,19,40
Air India,DEL,COK,DEL → JAI → BOM → COK,2,0,8603,6,6,2206.24,12,00,7,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14231,24,3,2500.36,13,55,9,30
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,0,15129,9,5,2263.95,23,05,29,20
Air Asia,DEL,COK,DEL → BLR → COK,1,0,11410,1,6,2077.09,20,45,10,25
Air India,BLR,DEL,BLR → BOM → BHO → DEL,2,0,12725,12,3,2079.22,08,50,24,35
Jet Airways,DEL,COK,DEL → IDR → BOM → COK,2,0,13292,9,6,2232.34,09,35,27,0
SpiceJet,CCU,BLR,CCU → BLR,0,0,3873,24,4,1547.27,06,55,2,35
IndiGo,MAA,CCU,MAA → CCU,0,0,3850,15,6,1387.26,07,55,2,20
SpiceJet,CCU,BLR,CCU → KNU → BLR,1,0,8479,9,6,2408.53,11,35,7,15
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,14151,24,5,3022.67,09,35,14,0
Air India,BLR,DEL,BLR → DEL,0,0,5228,24,4,1709.71,06,10,2,45
Vistara,CCU,BLR,CCU → DEL → BLR,1,0,9397,9,6,3022.67,07,10,25,55
Jet Airways,BOM,HYD,BOM → HYD,0,1,4995,18,6,623.54,07,05,1,25
Air India,DEL,COK,DEL → AMD → BOM → COK,2,0,10651,1,6,2263.95,19,45,23,30
Air Asia,BLR,DEL,BLR → DEL,0,0,4282,3,4,1709.71,04,55,2,50
Air India,CCU,BLR,CCU → JAI → BOM → BLR,2,0,10697,21,5,3102.91,08,20,13,30
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,1,9314,21,5,3022.67,09,35,28,50
IndiGo,MAA,CCU,MAA → CCU,0,0,3540,27,6,1387.26,05,15,2,25
Air India,DEL,COK,DEL → AMD → BOM → COK,2,0,9443,12,6,2263.95,16,40,26,35
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,15147,6,3,2201.6,07,30,8,0
Jet Airways,BLR,DEL,BLR → DEL,0,0,8016,27,6,1709.71,08,20,3,0
IndiGo,BOM,HYD,BOM → HYD,0,0,2437,24,5,623.54,21,20,1,30
IndiGo,DEL,COK,DEL → BOM → COK,1,0,6104,27,5,2201.6,10,35,14,55
SpiceJet,BOM,HYD,BOM → HYD,0,2,1965,6,6,623.54,22,45,1,30
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,7408,12,6,2201.6,13,00,8,0
IndiGo,BOM,HYD,BOM → HYD,0,0,4049,18,6,623.54,06,25,1,30
Jet Airways,BLR,DEL,BLR → DEL,0,0,8016,1,6,1709.71,19,50,3,0
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,10197,9,5,2201.6,07,00,12,0
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,1,5,2500.36,21,10,11,5
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,12692,9,6,3022.67,17,00,26,10
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14781,6,5,2500.36,08,25,7,55
GoAir,CCU,BLR,CCU → BOM → BLR,1,0,7335,24,5,2500.36,23,30,8,15
Jet Airways,BLR,DEL,BLR → DEL,0,0,7229,27,5,1709.71,08,20,3,0
Vistara,BLR,DEL,BLR → DEL,0,0,4353,24,3,1709.71,21,10,2,55
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13941,18,5,2500.36,20,00,12,15
Jet Airways,BLR,DEL,BLR → MAA → DEL,1,0,12295,12,3,2028.89,09,45,4,40
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12898,27,5,2201.6,22,50,13,45
Vistara,CCU,BLR,CCU → DEL → BLR,1,0,7927,9,5,3022.67,07,10,15,30
Air Asia,BLR,DEL,BLR → DEL,0,0,4483,15,4,1709.71,23,55,2,50
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,19225,06,3,1971.87,11,40,6,45
GoAir,DEL,COK,DEL → AMD → COK,1,0,4692,24,4,2247.89,07,25,6,10
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,13555,18,3,1971.87,21,25,12,5
IndiGo,DEL,COK,DEL → BOM → COK,1,0,6270,9,4,2201.6,15,00,10,30
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13584,6,5,2500.36,18,55,21,25
Jet Airways,DEL,COK,DEL → MAA → BOM → COK,2,0,13180,21,3,3860.03,16,10,26,40
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,14151,12,5,3022.67,20,25,21,35
Vistara,DEL,COK,DEL → COK,0,0,6216,12,5,2048.6,06,00,3,10
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,15135,3,3,2201.6,07,30,11,20
Multiple carriers,DEL,COK,DEL → BOM → COK,1,1,15136,6,3,2201.6,11,30,9,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,27,6,2201.6,02,15,16,45
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,1,12384,18,5,3022.67,09,35,12,30
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,1,9314,1,4,3022.67,09,35,9,35
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,1,9314,6,5,3022.67,17,00,25,0
Air India,DEL,COK,DEL → BOM → COK,1,0,10454,1,6,2201.6,09,00,10,15
Air India,DEL,COK,DEL → BOM → COK,1,0,8372,18,5,2201.6,23,00,8,40
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,11848,9,3,2201.6,19,45,8,40
IndiGo,DEL,COK,DEL → BOM → COK,1,0,6416,1,6,2201.6,08,30,12,30
IndiGo,BOM,HYD,BOM → HYD,0,0,3342,1,4,623.54,09,10,1,30
Jet Airways,CCU,BLR,CCU → BOM → PNQ → BLR,2,1,10118,6,6,2512.92,06,30,24,55
Air India,CCU,BLR,CCU → GAU → DEL → BLR,2,0,14960,12,6,3664.88,16,45,19,45
